rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
24,Saint Mary's,WCC,27-5,119.37190033517038,46,97.44157610502992,22,0.9116858253379125,24,27.6009848348217,5.3990151651783,16.0,2.0,16-2,0.6015297922169547,0.5608957190420363,0.6145175530270424,0.6097463278044102,0.5608957190420363,0.6145175530270424,0.771996143117194,0.8148089777346558,111.83155968251044,105.57931810398946,112.08118763358935,105.4472526651821,121.12936462210052,98.32015761145523,113.77165241683451,95.97369251359972,0.876139743887235,6.0,0.04774486297660685,1403.0,1154.0,1178.2625,1.190736359682159,0.9794082388262377,0.0,0.8888888888888888,4.001477842769413,25,72,65.28122493068736
25,UCLA,B10,23-11,124.50842207823675,17,101.65719514601756,52,0.9114783717837858,25,23.704531613089088,11.295468386910912,13.0,7.0,13-7,0.7140846299978922,0.4862521959396433,0.8195375054248132,0.7168813013401507,0.4862521959396433,0.8195375054248132,0.6372682424385031,0.8018971198351132,116.26965764263363,103.44049092626554,116.37330783174995,103.50150881997564,124.9850286758306,102.53069393721951,125.02667290957672,105.12055324091973,0.8801996048855658,15.0,0.01994362713097797,1511.0,1445.0,1295.3625000000002,1.166468845593415,1.115517856970539,0.0,0.65,3.5901031905641867,29,128,64.67938912422666
26,Iowa,B10,21-12,122.04814832750469,30,100.06873860293825,35,0.9074945776565246,26,21.54227242761979,12.45772757238021,10.0,10.0,10-10,0.6922308504472479,0.4121985930925437,0.8369536047975744,0.6981137478721888,0.4121985930925437,0.8369536047975744,0.6399798525190032,0.840242972606724,115.43038069795372,104.35671192958391,115.46074350000166,104.13760212448265,120.91818219388297,100.5046760077009,121.08386357948302,98.30103602202834,0.9166105977735464,15.0,-0.020402660152775254,1417.0,1395.0,1263.6374999999998,1.12136589805225,1.1039558417663295,0.0,0.5,1.929057381790674,38,227,63.019587431464096
27,North Carolina,ACC,24-8,121.28081735924609,33,99.87634596106258,32,0.9031759070435359,27,24.635599048529524,8.364400951470474,12.0,6.0,12-6,0.7024629525358632,0.5331162097307611,0.8142252439862496,0.7067055347701711,0.5331162097307611,0.8142252439862496,0.6644731402218838,0.7854137301369608,115.20022365214585,103.93719765879598,115.3193700892679,103.90787049628814,123.00377741978984,102.24731961019799,121.2920446331244,102.29917506567047,0.8763646361211431,14.0,0.07880247409649277,1416.0,1376.0,1232.0,1.1493506493506493,1.1168831168831168,0.0,0.6666666666666666,4.863564388161199,21,23,67.98113334196569
28,Utah St.,MWC,28-6,123.05650350755327,24,101.92718186817405,55,0.8971938884398332,28,28.54183593237237,6.458164067627631,15.0,5.0,15-5,0.6431646529622347,0.513549428787467,0.6964022191766446,0.6499502229402999,0.513549428787467,0.6964022191766446,0.7672714668495161,0.8450458301535284,112.42118433574704,105.22095968991637,112.62904058185984,105.07992570844333,125.47092217171893,104.02941952820733,121.59495242840747,101.4727847483471,0.8889840600754171,7.0,0.054557303871628604,1630.0,1453.0,1349.2499999999998,1.2080785621641654,1.0768945710579954,0.0,0.75,4.0324606640177825,24,59,67.52836272073544
29,Santa Clara,WCC,26-8,124.96769075367797,15,103.62685770806438,79,0.895993049606129,29,26.513751875926094,8.486248124073906,15.0,3.0,15-3,0.6134796478366704,0.5499328269720037,0.6214148647530204,0.6214017373338134,0.5499328269720037,0.6214148647530204,0.7574322796600549,0.8147674297123854,111.76784146068695,105.02529949455649,112.0052770681524,104.87314260118444,125.925396391818,103.1421684052976,121.86095763096338,104.59717672160849,0.8528068789378519,8.0,0.006529842861108581,1569.0,1330.0,1280.9500000000003,1.224872165189898,1.03829189273586,0.0,0.8333333333333334,2.1270416655731452,36,157,69.25150930734596
30,Clemson,ACC,24-10,116.4627159643007,69,96.90697855989481,20,0.8922493628212487,30,24.45772757238021,10.54227242761979,12.0,6.0,12-6,0.682079175613657,0.5179788565503488,0.7662763486397591,0.6885196156728322,0.5179788565503488,0.7662763486397591,0.678431090674731,0.7674059049905616,114.57292179288469,105.06271332047235,114.78649969390385,104.92002832848371,114.83715318514457,95.87545088322007,117.90025998605073,94.24118719240764,0.9292870855715765,11.0,0.03503474949236485,1273.0,1199.0,1169.5374999999997,1.08846445710377,1.025191582142514,0.0,0.6666666666666666,3.1140519363901027,31,93,64.26706301937865
31,Kentucky,SEC,21-13,119.84065211909555,41,99.85196511477423,31,0.8907527803370041,31,21.486248124073906,13.513751875926094,10.0,8.0,10-8,0.7366472786722454,0.5239266656943427,0.8685062929646375,0.7412000149647332,0.5239266656943427,0.8685062929646375,0.5888888952793472,0.7282856923542884,118.02930399331278,104.06410464974431,118.22754361390187,104.05161188096544,121.10403211455075,101.419250274505,119.37925148961008,100.97501685901538,0.872747310077197,20.0,0.04281925191691749,1414.0,1404.0,1245.875,1.13494531955453,1.1269188321460821,0.0,0.5555555555555556,3.257239223485112,30,80,68.31213744758921
32,Cincinnati,B12,18-15,112.21827844352046,113,93.5738540505099,8,0.8898775697358127,32,18.0,15.0,9.0,9.0,9-9,0.6816086755015099,0.4611583095086122,0.8360227505506475,0.6816086755015099,0.4611583095086122,0.8360227505506475,0.6722282978552117,0.8297220084887594,114.32816274656814,103.80672152811181,114.32816274656814,103.80672152811181,117.7389053767572,94.64019655895919,114.32296913279411,97.6239314228286,0.8600741172552526,14.0,-0.11048400224477384,1290.0,1247.0,1196.0374999999997,1.07856149995297,1.0426094499545377,0.0,0.5,-2.042156179680071,70,358,67.64064055884933
33,BYU,B12,23-11,124.66056244545325,16,104.19795404011961,89,0.887151901120137,33,23.565379253987846,11.434620746012154,9.0,9.0,9-9,0.7486504047568814,0.6046323178220262,0.8417112680287135,0.7517752830667535,0.6046323178220262,0.8417112680287135,0.6164351872084943,0.7398958575740664,115.88303014866048,101.91852114112947,116.09208184189792,102.01683165587899,124.9984016770426,107.661376578634,125.67031666872167,102.90277143998325,0.9087601735046645,16.0,0.0826651161992481,1478.0,1483.0,1277.6499999999999,1.1568113333072438,1.160724768128987,0.0,0.5,4.494936921611029,22,21,69.76841296459902
34,Indiana,B10,18-14,121.83054077322353,31,101.92615040558246,54,0.8860889174401095,34,18.0,14.0,9.0,11.0,9-11,0.7023199626925267,0.44076008723263205,0.8416808263478636,0.7023199626925267,0.44076008723263205,0.8416808263478636,0.6408813360514228,0.836651306385372,116.20308945555483,104.05023086813759,116.20308945555483,104.05023086813759,124.13847770313012,103.95539651266854,116.96344577797716,104.4015186370839,0.786943355423359,14.0,-0.056070956177568854,1516.0,1521.0,1318.2124999999999,1.1500421972936838,1.1538352124562619,0.0,0.45,-0.42750154361950576,53,312,66.19130526327524
35,Miami FL,ACC,25-8,121.01069997366574,34,101.33504548369041,44,0.8849980765421773,35,25.570911626915414,8.429088373084586,13.0,5.0,13-5,0.6398348356216169,0.41050132992022087,0.7721361689045793,0.6460923557223041,0.41050132992022087,0.7721361689045793,0.7036903867583142,0.8332380583797863,113.16947475838052,105.72408616428983,113.36720573898906,105.64169698786611,121.60564761896772,102.10495636248203,120.48976296389769,100.75908882029593,0.8866100447416962,11.0,0.07443552802539255,1401.0,1312.0,1214.9125,1.1531694669369195,1.0799131624705485,0.0,0.7222222222222222,3.795309309772582,28,29,67.9227115124607
36,Villanova,BE,24-8,119.48829667950304,45,100.42580433844279,38,0.8806596017269894,36,24.45816406762763,8.541835932372368,15.0,5.0,15-5,0.707028475910935,0.5672139759474126,0.7814389808719459,0.7127910641475541,0.5672139759474126,0.7814389808719459,0.6924695758314608,0.7670703710325589,114.65728765165996,103.96845803019116,114.91180934301933,103.90660117786466,119.73470660448717,99.59443785169897,111.496669195903,97.45778371792541,0.8245693355427788,8.0,0.08382098569069585,1525.0,1440.0,1360.9,1.1205819678154163,1.058123300756852,0.0,0.75,3.8898497832519086,27,20,64.93911033871366
37,Georgia,SEC,22-10,124.35974959728505,18,104.6841957513198,92,0.8787504088729741,37,22.549196286492677,10.450803713507323,10.0,8.0,10-8,0.6708503180410932,0.40729425967055494,0.8545752474822649,0.676463785285511,0.40729425967055494,0.8545752474822649,0.6730395639883909,0.8561690317913284,115.21039858170339,105.637571635458,115.33536893138252,105.53320152946276,126.7390143112501,106.69767617113229,126.34059091762703,101.70854930085612,0.9237204774674519,13.0,0.046930585487935494,1515.0,1521.0,1284.675,1.1792865899935783,1.1839570319341468,0.0,0.5555555555555556,2.5669304206342525,33,74,72.02090517881382
